"Code","Title","Definition","Parent Codes","Ecf Case Types","Taxonomies"
"ES-05-00-00-00","Plans for if you are incapacitated or ill (Powers of Attorney and Advance Directives)","This category concerns options that a person has to have others make decisions about their medical, legal, financial, or other life matters. It includes options for medical care if a person has a terminal injury or illness, health-care proxies, do not resuscitate orders, organ donation choices, and powers of attorney.","ES-00-00-00-00, HE-00-00-00-00",,"NSMI v1 Taxonomy [1960000], NSMI v1 Taxonomy [1960099]"
"VE-02-00-00-00","Discharge from military","This category covers issues of veterans who need assistance with discharge, like getting a Discharge Upgrade or other problems after receiving a less than honorable discharge from military service.","VE-00-00-00-00",,"NSMI v1 Taxonomy [1770200], NSMI v1 Taxonomy [1770299]"
"MO-12-00-00-00","Debt and Lending Money","This category is about issues people might have with debts they owe (or other family members owe), dealing with debt collectors, going through a repossession or garnishment process, or filing for bankruptcy. It also covers issues with other people owing you debts, after lending money to them.","MO-00-00-00-00",,
"WO-00-00-00-00","Work and Employment Law","This category covers issues related to working at a job, including discrimination and harassment, worker's compensation, workers rights, unions, getting paid, pensions, being fired, and more.",,"CivilCase","NSMI v1 Taxonomy [1290000], NSMI v1 Taxonomy [ 1290099], Legal Server Index Taxonomy [LS002-00029], Legal Services Corporation Taxonomy [29]"
"NA-09-00-00-00","Health Care for Native Americans","This category covers issues Native Americans might have in accessing and paying for health care.","HE-00-00-00-00, NA-00-00-00-00",,"NSMI v1 Taxonomy [1920300]"
"TO-05-00-00-00","Harassment by another person","This category covers the options and rights of a person who is facing harassment by another person (including threatening behavior, stalking, harassing behavior online or in texting, sexual harassment at work or otherwise, or other inappropriate behavior).  This category also covers options and protections if a person is being accused of harassing another person, and what process and consequences they might face, as well as how they might defend themselves. This includes harassment that might be considered under civil laws, or that might cross over to criminal laws. It also covers the difference between domestic violence and harassment (by non-family members, or more distant family members).","TO-00-00-00-00",,
"ES-00-00-00-00","Estates, Wills, and Guardianships","This category covers planning for end-of-life, possible incapacitation, and other special circumstances that would prevent a person from making decisions about their own well-being, finances, and property. This includes issues around wills, powers of attorney, advance directives, trusts, guardianships, conservatorships, and other estate issues that people and families deal with.",,"DomesticCase","Legal Server Index Taxonomy [LS002-00095], NSMI v1 Taxonomy [1950000], NSMI v1 Taxonomy [1950099], Legal Services Corporation Taxonomy [95]"
"CR-00-00-00-00","Crime and Prisons","This category covers issues in the criminal system including when people are charged with crimes, go to a criminal trial, go to prison, or are a victim of a crime.",,"CriminalCase","NSMI v1 Taxonomy [2040000], NSMI v1 Taxonomy [1830000]"
"BE-06-00-00-00","Public Benefits for Veterans and Military","This category covers benefits that are potentially available to members of the US military and veterans of it. It includes medical assistance, disability, educational benefits, mortgage benefits, old age benefits, and other programs.","BE-00-00-00-00, VE-00-00-00-00",,"Legal Server Index Taxonomy [LS002-00072], NSMI v1 Taxonomy [1770300], NSMI v1 Taxonomy [1770399], Legal Services Corporation Taxonomy [77]"
"FA-00-00-00-00","Family","This category covers issues that arise within a family, like divorce, adoption, name change, guardianship, domestic violence, child custody, and other issues.",,"DomesticCase","NSMI v1 Taxonomy [1390000], NSMI v1 Taxonomy [1390099], Legal Server Index Taxonomy [LS002-00039], Legal Services Corporation Taxonomy [39]"
"FA-06-00-00-00","Divorce, Separation, and Annulment","This category concerns issues around filing for divorce, separation, or annulment, getting spousal support, splitting money and property, and following the court processes.","FA-00-00-00-00",,"NSMI v1 Taxonomy [1320200], NSMI v1 Taxonomy [1320099], Legal Server Index Taxonomy [LS002-00032], Legal Services Corporation Taxonomy [32]"
"FA-02-00-00-00","Birth Certificates and Identity Documents","About getting certificates, cards, licenses, and other official documentation to prove something about yourself or someone else.","FA-00-00-00-00, GO-02-00-00-00",,"NSMI v1 Taxonomy [1390100]"
"WO-07-00-00-00","Being injured on the job","This category is about options that a person has after there has been health or physical injuries that happen while on the job. It includes how to report it, how to get workers compensation coverage for it, and what other protections and options the employee has. It also includes if an existing medical condition is made worse by workplace conditions. This category also covers if a person is able to sue their employer for their injury, or what they might do if the employer retaliates or discriminates against them after the injury.","WO-00-00-00-00, WO-02-00-00-00",,
"HE-01-00-00-00","Care for a specific condition or disability","This category covers what rights and options a person has, when they are dealing with a specific kind of disease, condition, or health care need. This could include AIDS/HIV, abortion, alcoholism or drug dependency, cancers, and other problems.","HE-00-00-00-00",,
"TR-03-00-00-00","Driver's licenses or permits","This category concerns how an individual gets and maintains a driver's license or permit, to operate a car, motorcycle, truck, or other motor vehicle.","TR-00-00-00-00, GO-01-00-00-00",,"NSMI v1 Taxonomy [1930101]"
"TO-00-00-00-00","Accidents and Torts","This category covers problems that one person has with another person (or animal), like when there is a car accident, a dog bite, bullying or possible harassment, or neighbors treating each other badly.",,"CivilCase","Legal Server Index Taxonomy [LS002-00094], NSMI v1 Taxonomy [1940000], NSMI v1 Taxonomy [1940099], Legal Services Corporation Taxonomy [94]"
"TO-04-00-00-00","Suing someone, or being sued","This category is about the process and options for a person who either wants to sue another for a harm or injury they have experienced, or who has been sued by another person for an injury. It covers the process of how to initiate a lawsuit, how to respond to it, what rights and obligations both have, and how to deal with the final judgment.","TO-00-00-00-00, CO-07-00-00-00",,
"NA-07-00-00-00","Public Benefits for Native Americans","This category covers public benefits programs, options, and processes that are unique to members of Native American tribes. This can include benefits around health care, emergency assistance, and other areas.","BE-00-00-00-00, NA-00-00-00-00",,
"MO-14-00-00-00","Door-to-door Sales, Telemarketing, and Spam","This category covers issues a person may have with a salesperson coming door-to-door trying to sell something, or with telemarketers over phone or text message, or with spam on email. This might include what solicitations are legal, how to opt-out, how to report abuse or fraud, or how to protect oneself against problems.","MO-00-00-00-00",,"NSMI v1 Taxonomy [1030400], NSMI v1 Taxonomy [1030499]"
"FA-04-00-00-00","Child Custody, Parenting Plans, and Visitation","This category is about making child custody orders and parenting plans, modifying it and enforcing it, getting visitation for different family members, and dealing with abductions by a family member.","FA-00-00-00-00, FA-06-06-00-00",,"NSMI v1 Taxonomy [1310100], NSMI v1 Taxonomy [1310199], Legal Server Index Taxonomy [LS002-03100], Legal Services Corporation Taxonomy [31]"
"IM-03-00-00-00","Public Benefits for immigrants","This category concerns what public benefit programs an immigrant to the US might be able to access. This includes eligibility and procedural requirements for immigrants for programs like food stamps (SNAP benefits), Medicaid, Medicare, disability, old age, SSI, TANF, welfare, and other assistance programs from the government.","BE-00-00-00-00, IM-00-00-00-00",,
"ES-03-00-00-00","Guardianship and Conservatorship","This category is about getting decision-making authority over an adult or child's funds, health care, school enrollment, estate, and other concerns. Some states use the term conservatorship for adults, other states use it for control of another person's financial decisions.","FA-00-00-00-00, ES-00-00-00-00",,"NSMI v1 Taxonomy [1330000], NSMI v1 Taxonomy [1330099], Legal Services Corporation Taxonomy [33]"
"FA-16-00-00-00","Taking Care of Sick or Disabled Family","This category is about getting financial and work support, including leave, to take care of a sick or disabled family member, including around pregnancy. It also includes issues around estate planning, trusts, and other financial protections for another family member who may have special needs, health conditions, or other issues.","FA-00-00-00-00, HE-01-10-00-00",,
"MO-13-00-00-00","Bankruptcy","This issue deals with a person's options regarding filing for bankruptcy, dealing with the procedure of it, and the possible outcomes of it. It concerns issues about who should file for bankruptcy, including around who might be collection-proof. It includes how to file for different kinds of bankruptcy -- Chapter 7, Chapter 11, Chapter 12, or Chapter 13. It also covers exceptions and exemptions, or stays in a bankruptcy. ","MO-00-00-00-00, MO-12-00-00-00","BankruptcyCase","Legal Server Index Taxonomy [LS002-00100], NSMI v1 Taxonomy [1010000], NSMI v1 Taxonomy [1010099], Legal Services Corporation Taxonomy [01]"
"HO-08-00-00-00","Foreclosure on a Home","This category is about problems with homes you own or live in, that are going into foreclosure, how to defend against it, and the court process around it.","HO-00-00-00-00, HO-09-00-00-00, HO-09-05-00-00",,"NSMI v1 Taxonomy [1670000], NSMI v1 Taxonomy [1670099], Legal Server Index Taxonomy [LS002-00067], Legal Services Corporation Taxonomy [67]"
"WO-06-00-00-00","Volunteering or interning at a job","About rights and duties of people who are interning or volunteering at a job.","WO-00-00-00-00",,
"MO-09-00-00-00","Taxes","This category covers taxes, including income, sales, property, and other taxes. It covers the obligations and process of calculating and paying taxes, as well as penalties or how to respond to problems. It also covers Earned Income Tax Credits and other social benefit programs.","MO-00-00-00-00, GO-00-00-00-00",,"NSMI v1 Taxonomy [1990100], NSMI v1 Taxonomy [1990199], Legal Services Corporation Taxonomy [24], Legal Server Index Taxonomy [LS002-00024]"
"TR-00-00-00-00","Traffic and Cars","This category covers problems with traffic and parking tickets, fees, driver's licenses, and other issues experienced with the traffic system. It also concerns issues with car accidents and injuries, cars' quality, repairs, purchases, and other contracts.",,"CitationCase","NSMI v1 Taxonomy [2240000], NSMI v1 Taxonomy [2240099]"
"TO-01-00-00-00","Being Physically injured or harmed by another","This category covers options, rights, and services for a person who has been physically hurt or killed by another person (or entity's) actions. This category covers what they might be able to do to protect themselves, get financial or medical coverage, make themselves whole, and possibly punish the other person.  This might cover scenarios like being injured while getting medical care, interacting with a car, domestic violence, or otherwise.","TO-00-00-00-00",,
"TO-02-00-00-00","Personal data privacy breach and protections","This category covers process and options for a person who is concerned that their personal data has been accessed by another person inappropriately, that a company or controller of their data has had a breach that leaked their data, or wants to assert their privacy and data rights.","TO-00-00-00-00, HE-05-00-00-00, RI-12-00-00-00",,"NSMI v1 Taxonomy [1850500]"
"FA-03-00-00-00","Child Care Costs","About paying for the costs of children's daycare, caretakers, and educational expenses. It also relates to economic development and child care concerns.","FA-00-00-00-00",,"NSMI v1 Taxonomy [2050200], NSMI v1 Taxonomy [1390300]"
"NA-03-00-00-00","Family and child support for Native Americans","This category concerns issues around family law for Native Americans, including around divorce, child custody, child support, and the Indian Child Welfare Act.","FA-00-00-00-00, NA-00-00-00-00",,
"WO-04-00-00-00","Retirement and Pensions","This category is about getting payments and benefits after retiring from a job or at the end of a career. This includes around eligibility for benefits, proper management of benefit plans under ERISA, vesting of benefits, managers of benefits, and railroad retirement.","WO-00-00-00-00",,"NSMI v1 Taxonomy [1250200], NSMI v1 Taxonomy [1250299]"
"VE-01-00-00-00","Active Duty Claims","This category covers how a military servicemember can make claims for compensation or other issues, while they are on active duty. This could be for household goods that have been damaged, lost, or stolen, or for medical issues. This includes how to file a claim, who's eligible for them, and how to appeal or follow through on them.","VE-00-00-00-00",,"NSMI v1 Taxonomy [1771100], NSMI v1 Taxonomy [1771199]"
"VE-07-00-00-00","Legal help for military","This category is about legal help for military and veteran service members, for issues they are experiencing.","VE-00-00-00-00, CO-02-00-00-00",,
"WO-01-00-00-00","Applying and interviewing for a job","This category covers issues that might arise while a person is trying to get a job, including rights and discrimination, background checks, criminal records, drug testing, affirmative action, and inappropriate behavior.","WO-00-00-00-00",,
"HE-02-00-00-00","Rights and discrimination around health care","This category covers what rights a person has to access health care, and to respond to discrimination when trying to seek out health services.","HE-00-00-00-00, RI-00-00-00-00",,"NSMI v1 Taxonomy [1891400]"
"HE-04-00-00-00","Nursing Home Care and Assisted Living","This category covers the options and rights a person has when getting care in nursing home or assisted living facility. This can also be called long-term health care facilities.","HE-00-00-00-00",,"NSMI v1 Taxonomy [1560100], NSMI v1 Taxonomy [1560199], Legal Services Corporation Taxonomy [56]"
"TR-04-00-00-00","Issues with Owning a Car","This category concerns issues with owning a car, including how to pay for it, getting insurance for it, repairing it, warranties on it, and dealing with possible repossession.","TR-00-00-00-00, MO-00-00-00-00",,"NSMI v1 Taxonomy [1090100], NSMI v1 Taxonomy [1090199]"
"HO-01-00-00-00","Discrimination around housing","This category covers how a person may be protected from discrimination when searching for or living in housing. This could be for renting or buying a house. It covers what protections the law may give, for people in different demographic groups.","HO-00-00-00-00, RI-00-00-00-00",,"NSMI v1 Taxonomy [1660000], NSMI v1 Taxonomy [1660099], Legal Server Index Taxonomy [LS002-00066], Legal Services Corporation Taxonomy [66]"
"HO-03-00-00-00","Housing Assistance, Public Housing, and Subsidized Housing","This category is about financial support to cover costs for renting a home and covering home costs. In includes vouchers, subsidized housing, public housing, Section 8, rural housing subsidies, and the standards and procedures of living in public and subsidized housing (or being removed from it). ","HO-00-00-00-00, BE-00-00-00-00",,"NSMI v1 Taxonomy [1693000]"
"HO-05-00-00-00","Problems with living conditions","This category is about problems that people have where they live, including health issues, environmental issues, security, and other habitability issues with an individual home or neighborhood. It could be for rented homes, a home one owns, or the broader neighborhood.","HO-00-00-00-00",,
"HO-11-00-00-00","Housing issues after contact with police","This category is about issues people experience with housing options and rights after they have been in the criminal justice system (like after an arrest, incarceration, or other police encounter).","HO-00-00-00-00",,
"HE-00-00-00-00","Health","This category covers issues with accessing health services, paying for medical care, getting public benefits for health care, protecting one's rights in medical settings, and other issues related to health.",,"CivilCase","NSMI v1 Taxonomy [1590000], NSMI v1 Taxonomy [1590099], Legal Server Index Taxonomy [LS002-00066], Legal Services Corporation Taxonomy [59]"
"HE-06-00-00-00","Health issues from living conditions","This category covers health and legal issues that a person might face because of poor living conditions. This could be problems with bad air quality, mold, pests, asthma, lead poisoning, poor water and sewage, environmental waste, or other issues.","HE-00-00-00-00, EN-00-00-00-00, HO-05-00-00-00",,
"ES-07-00-00-00","Estate Planning for Military","This category includes issues around life insurance for military service members, and death benefits that are unique to service members.","VE-00-00-00-00, ES-01-00-00-00",,"NSMI v1 Taxonomy [1770900], NSMI v1 Taxonomy [1770999]"
"FA-10-00-00-00","Marriages and civil unions","This category is about the process of married or forming civil unions, getting a certificate to prove the union, and changing names for it.","FA-00-00-00-00",,"NSMI v1 Taxonomy [1390400], NSMI v1 Taxonomy [1390499]"
"CR-10-00-00-00","Juvenile Justice","This category is about minors who are in criminal proceedings, or dealing with discipline in school, including getting advocates and support. It can cover issues of detention, special sentencing, standards of treatment, and the possibility of the death penalty. This might also be called juvenile delinquency.","FA-00-00-00-00, CR-00-00-00-00",,"NSMI v1 Taxonomy [2320900], NSMI v1 Taxonomy [2320999], Legal Services Corporation Taxonomy [41], Legal Services Corporation Taxonomy [49]"
"HO-04-00-00-00","Buying a Home","This category is about the process of buying a home, coop, condo, mobile home -- and dealing with problems with the purchase. This includes issues with getting title, closing on a house purchase, getting financing, and other issues.","HO-00-00-00-00",,
"MO-00-00-00-00","Money, Debt, and Consumer Issues","This category covers issues people face regarding money, insurance, consumer goods and contracts, taxes, and small claims about quality of service.",,"CivilCase","NSMI v1 Taxonomy [1090000], NSMI v1 Taxonomy [1090099], Legal Server Index Taxonomy [LS002-00009], Legal Services Corporation Taxonomy [09]"
"MO-05-00-00-00","Financial Literacy","This category concerns resources and options for improving a person's ability to understand their finances, and make choices in their best interest.","MO-00-00-00-00",,"NSMI v1 Taxonomy [1090300], NSMI v1 Taxonomy [1090399]"
"ED-03-00-00-00","Paying for education","This category covers options, problems, and rights of people who are trying to pay for school, university, or other education programs. It includes issues around borrowing money, getting aid, covering fees, and other concerns.","MO-00-00-00-00, ED-00-00-00-00",,
"ES-04-00-00-00","Trusts","This category is about how to set up, use, deal with disputes, and end a trust. It also covers different types of trusts, including those set up as part of a guardianship. Trusts are tools to save assets, set rules about how they are used, who can access the assets, and other issues. Trusts may be a part of a plan to provide for dependents with disabilities or special needs.","ES-00-00-00-00, ES-03-00-00-00",,"NSMI v1 Taxonomy [1950600], NSMI v1 Taxonomy [1950699]"
"VE-03-00-00-00","Draft into military","This category covers people's rights and options if they are facing a draft into military service.","VE-00-00-00-00",,"NSMI v1 Taxonomy [1770500]"
"FA-08-00-00-00","Emancipation of a minor","This category concerns issues around a minor who requests to be emancipated from their parents, contesting it, rights afterward, and other situations of children (including adult children) breaking away from their parents.","FA-00-00-00-00",,"NSMI v1 Taxonomy [1430000], Legal Services Corporation Taxonomy [43]"
"HO-00-00-00-00","Housing","This category covers issues with paying your rent or mortgage, landlord-tenant issues, housing subsidies and public housing, eviction, and other problems with your apartment, mobile home, or house.",,"CivilCase","NSMI v1 Taxonomy [1690000], NSMI v1 Taxonomy [1690099], Legal Services Corporation Taxonomy [66]"
"HO-06-00-00-00","Renting or leasing a home","This category is about the process of renting or leasing a home, and problems that may come up while renting a home, mobile home lot, or while living in a group home or homeless shelter. It includes landlord-tenant issues for private rentals, subsidized homes, public homes, or other situations where the person living in the property doesn't own it.","HO-00-00-00-00",,"NSMI v1 Taxonomy [1630100], NSMI v1 Taxonomy [1630099], Legal Server Index Taxonomy [LS002-00063], Legal Services Corporation Taxonomy [63]"
"HO-09-00-00-00","Owning a Home","This category concerns issues for homeowners, like with improvements, contractors, neighbors, mortgages, taxes, and titles. It also includes problems with owning a home, including foreclosures and liens.","HO-00-00-00-00",,"Legal Server Index Taxonomy [LS002-00062], NSMI v1 Taxonomy [1620100], NSMI v1 Taxonomy [1620199], Legal Server Index Taxonomy [LS002-00069], Legal Services Corporation Taxonomy [62]"
"MO-10-00-00-00","Small Claims lawsuits","This category covers how a person might sue or be sued for a small amount of money. These are called small claim actions, in which the lawsuit covers a small amount of money (usually around $5000 or $10,000 or less), and goes to a special court. It might be for money that one person thinks the other owes them, from a contract, security deposit, accident damages, deceptive business practice, bad check, or land trespass.","MO-00-00-00-00, TO-04-00-00-00",,"NSMI v1 Taxonomy [1090200]"
"HE-07-00-00-00","Workers with health or disability issues","This category concerns the issues that an employee or worker might face at work, if they have health problems or a disability.","HE-00-00-00-00, WO-02-00-00-00, HE-01-10-00-00",,
"TO-03-00-00-00","Getting Care and Compensation for an injury","This category covers options that a person has to get care for when they are injured physically, emotionally, or otherwise by another person or entity. This might be around getting medical care to deal with the injuries, insurance coverage to cover the costs, or other kinds of support to help be 'made whole' again.","TO-00-00-00-00",,
"ES-01-00-00-00","Making a Will and Estate Plan","This category covers plans that a person can make for what will happen with their property and responsibilities after they die. It includes topics of how property will be divided among spouses, family members, and other interested parties -- and how wills can be written in valid ways in order to spell out a specific plan.","ES-00-00-00-00",,"NSMI v1 Taxonomy [1950900], NSMI v1 Taxonomy [1950099], NSMI v1 Taxonomy [1950900]"
"ES-06-00-00-00","Funeral and Burial Issues","This category covers situations where a person must take care of a funeral and burial, including covering costs, making plans, and resolving disputes.","ES-00-00-00-00",,"NSMI v1 Taxonomy [2120200]"
"VE-08-00-00-00","Deployment preparation and issues","This category covers how a service member can prepare for being deployed, and issues that might arise when being deployed into service.","VE-00-00-00-00",,
"FA-11-00-00-00","Name or Gender Change","This category concerns options and process of changing one's name or gender assignment.","FA-00-00-00-00, GO-00-00-00-00",,"NSMI v1 Taxonomy [1340100], NSMI v1 Taxonomy [1340199], NSMI v1 Taxonomy [LS002-00034], Legal Services Corporation Taxonomy [34]"
"HO-10-00-00-00","Housing after a Disaster","This category concerns issues a person might have with their housing after a natural disaster or other emergency. It can include issues around owning, clearing title, rebuilding, and insuring a home when you have experienced or at risk of a disaster. It also includes landlord-tenant and eviction issues.","HO-00-00-00-00, DI-00-00-00-00",,"NSMI v1 Taxonomy [2051170]"
"MO-02-00-00-00","Paying for medical care","This category covers issues that a person might have to pay for their health and medical care, including through insurance programs, dealing with bills, dealing with medical debt, and other concerns.","MO-00-00-00-00, HE-00-00-00-00",,
"WO-02-00-00-00","Problems at a Current Job","This category is about problems that might arise while working at a job, including around proper payment and benefits, discrimination, inappropriate behavior, health issues and disabilities, immigration, training, and more.","WO-00-00-00-00",,
"FA-07-00-00-00","Domestic Violence and Abuse","This category concerns options for people dealing with domestic violence and abuse, including getting protective orders, enforcing them, understanding abuse, reporting abuse, and getting resources and status if there is abuse.","FA-00-00-00-00, CR-00-00-00-00",,"Legal Server Index Taxonomy [LS002-00037], NSMI v1 Taxonomy [1370100], NSMI v1 Taxonomy [1370199], NSMI v1 Taxonomy [1420100], Legal Services Corporation Taxonomy [37]"
"FA-14-00-00-00","Parental Rights (and Termination)","This category is about terminating parental rights, reporting child abuse or neglect, prisoners' parental rights, and reunification services for parents and children.","FA-00-00-00-00",,"Legal Services Corporation Taxonomy [35], NSMI v1 Taxonomy [1310502], NSMI v1 Taxonomy [1490400]"
"HO-07-00-00-00","Utilities, Energy, and Heating at home","This category is about electric, energy, gas, and water utilities at home, including financial assistance, utilities being shut off, payment to them, or terminating them. It might also include issues if a utility company is in a crisis, and you must pay another party (like a receiver) instead of the company.","HO-00-00-00-00",,"NSMI v1 Taxonomy [1691100], Legal Services Corporation Taxonomy [07], Legal Server Index Taxonomy [LS002-00007]"
